fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matrícula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
4,bus,0.8108493685722351,1,302,2,740,170,,,,,,,
5,bus,0.8357458710670471,1,307,3,736,184,,,,,,,
6,bus,0.7874712347984314,1,315,2,734,189,,,,,,,
7,bus,0.8311643004417419,1,323,2,738,197,,,,,,,
9,bus,0.7881853580474854,1,341,14,756,210,,,,,,,
10,bus,0.8370788097381592,1,351,21,754,216,,,,,,,
11,bus,0.7851908802986145,1,358,29,753,218,,,,,,,
12,bus,0.8384544849395752,1,363,35,750,223,,,,,,,
13,bus,0.7523083686828613,1,370,40,748,224,,,,,,,
14,bus,0.7804192304611206,1,376,46,745,226,,,,,,,
15,bus,0.8518459796905518,1,383,51,742,228,,,,,,,
16,bus,0.7550953030586243,1,388,56,740,229,,,,,,,
17,bus,0.8390920758247375,1,395,59,739,231,,,,,,,
18,bus,0.8717862367630005,1,399,63,739,231,,,,,,,
19,bus,0.8501270413398743,1,406,66,739,232,,,,,,,
20,bus,0.8845457434654236,1,411,69,739,234,,,,,,,
21,bus,0.8283231854438782,1,417,71,740,234,,,,,,,
22,bus,0.7852925658226013,1,423,73,740,234,,,,,,,
23,bus,0.8339037299156189,1,428,75,741,234,,,,,,,
23,car,0.7847307920455933,3,0,170,192,260,,,,,,,
24,bus,0.8194900751113892,1,435,76,745,233,,,,,,,
24,car,0.6549701690673828,3,0,165,201,260,,,,,,,
25,bus,0.8562532067298889,1,441,77,748,234,,,,,,,
25,car,0.7258566617965698,3,0,156,217,259,,,,,,,
26,bus,0.839737594127655,1,446,77,751,233,,,,,,,
26,car,0.7362165451049805,3,0,149,237,259,,,,,,,
27,bus,0.8211334943771362,1,452,78,753,231,,,,,,,
27,car,0.7650258541107178,3,0,146,251,259,,,,,,,
28,bus,0.7520463466644287,1,459,80,755,232,,,,,,,
28,car,0.7849160432815552,3,1,145,265,259,,,,,,,
29,bus,0.7767183780670166,1,464,81,755,229,,,,,,,
29,car,0.7540677785873413,3,0,141,278,259,,,,,,,
30,bus,0.8040155172348022,1,469,82,755,228,,,,,,,
30,car,0.7694054245948792,3,0,140,291,258,,,,,,,
31,bus,0.8773440718650818,1,474,83,758,229,,,,,,,
31,car,0.7263911366462708,3,0,139,302,258,,,,,,,
32,bus,0.8497022390365601,1,478,84,761,228,,,,,,,
32,car,0.7381086945533752,3,0,139,314,257,,,,,,,
33,bus,0.8615825176239014,1,480,84,763,228,,,,,,,
33,car,0.7247995138168335,3,0,139,324,258,,,,,,,
34,bus,0.8584527373313904,1,483,85,762,228,,,,,,,
34,car,0.7926003336906433,3,0,140,333,259,,,,,,,
35,bus,0.7840627431869507,1,484,86,761,227,,,,,,,
35,car,0.8446173667907715,3,0,141,344,259,,,,,,,
36,bus,0.8540055751800537,1,489,87,758,226,,,,,,,
36,car,0.8195923566818237,3,0,142,350,259,,,,,,,
37,bus,0.8981969356536865,1,491,88,755,226,,,,,,,
37,car,0.8440223932266235,3,0,142,355,258,,,,,,,
37,car,0.7161619663238525,4,426,153,495,205,,,,,,,
38,bus,0.8785154819488525,1,492,89,747,226,,,,,,,
38,car,0.8816565871238708,3,0,142,362,259,,,,,,,
38,car,0.8378931283950806,4,416,152,496,205,,,,,,,
39,bus,0.8639982342720032,1,491,91,745,226,,,,,,,
39,car,0.8881198167800903,3,0,143,367,260,,,,,,,
39,car,0.8417096734046936,4,404,153,496,206,,,,,,,
40,bus,0.8572254776954651,1,491,95,742,228,,,,,,,
40,car,0.8807636499404907,3,0,146,371,261,,,,,,,
40,car,0.8229587078094482,4,393,154,496,209,,,,,,,
41,bus,0.8100827932357788,1,492,98,738,230,,,,,,,
41,car,0.879804790019989,3,0,149,374,264,,,,,,,
41,car,0.8139948844909668,4,379,157,496,212,,,,,,,
42,bus,0.856769323348999,1,492,101,733,234,,,,,,,
42,car,0.8881476521492004,3,0,152,378,268,,,,,,,
42,car,0.8245733976364136,4,369,160,494,215,,,,,,,
43,truck,0.6301705241203308,1,490,106,730,235,,,,,,,
43,car,0.8667067289352417,3,0,155,386,272,,,,,,,
43,car,0.8189577460289001,4,356,162,487,216,,,,,,,
44,bus,0.744935154914856,1,491,110,729,238,,,,,,,
44,car,0.9017717242240906,3,0,158,390,275,,,,,,,
44,car,0.8157739639282227,4,346,165,478,219,,,,,,,
45,car,0.9074363112449646,3,8,161,395,279,,,,,,,
45,car,0.619319498538971,4,335,168,467,221,,,,,,,
46,car,0.9007839560508728,3,18,164,399,281,,,,,,,
46,car,0.718064546585083,4,326,170,456,228,,,,,,,
46,truck,0.6728453636169434,1,492,118,715,241,,,,,,,
47,car,0.8589980602264404,3,27,167,399,284,,,,,,,
47,car,0.7665980458259583,4,320,172,443,226,,,,,,,
48,car,0.8974039554595947,3,37,169,401,287,,,,,,,
48,car,0.611216127872467,4,318,173,433,232,,,,,,,
48,truck,0.7752541899681091,1,488,123,709,245,,,,,,,
49,car,0.8558121919631958,3,48,172,403,289,,,,,,,
49,car,0.6123631000518799,4,313,174,422,239,,,,,,,
49,truck,0.7033411860466003,1,487,126,704,246,,,,,,,
50,car,0.9042176604270935,3,59,173,406,291,,,,,,,
50,truck,0.6593623161315918,1,487,129,698,248,,,,,,,
51,car,0.8803670406341553,3,68,175,408,293,,,,,,,
51,bus,0.6536768078804016,1,485,131,694,250,,,,,,,
52,car,0.8883869647979736,3,78,177,412,295,,,,,,,
52,bus,0.7606277465820312,1,484,133,691,251,,,,,,,
53,car,0.8753795623779297,3,90,178,416,296,,,,,,,
53,bus,0.7913517355918884,1,486,135,689,251,,,,,,,
54,car,0.9048404097557068,3,102,180,420,298,,,,,,,
54,bus,0.6756762266159058,1,487,137,687,252,,,,,,,
55,car,0.9077123999595642,3,111,182,423,300,,,,,,,
55,bus,0.6899257898330688,1,488,140,685,255,,,,,,,
56,car,0.9093278050422668,3,122,184,426,302,,,,,,,
56,bus,0.7466089129447937,1,489,143,684,255,,,,,,,
57,car,0.9013854265213013,3,132,185,430,304,,,,,,,
57,truck,0.6885609030723572,1,491,144,680,258,,,,,,,
58,car,0.9063142538070679,3,142,187,433,306,,,,,,,
58,truck,0.6817677617073059,1,491,146,676,260,,,,,,,
59,car,0.9112533926963806,3,151,189,437,308,,,,,,,
59,truck,0.7651760578155518,1,492,148,672,261,,,,,,,
60,car,0.9103496670722961,3,158,191,440,311,,,,,,,
60,truck,0.6530045866966248,1,491,151,671,261,,,,,,,
61,car,0.9082275032997131,3,168,193,443,313,,,,,,,
61,bus,0.6644362807273865,1,492,152,665,262,,,,,,,
62,car,0.9192883372306824,3,177,194,446,316,,,,,,,
62,bus,0.8234814405441284,1,494,154,660,262,,,,,,,
63,car,0.9046662449836731,3,185,195,449,317,,,,,,,
63,bus,0.8636005520820618,1,495,156,658,262,,,,,,,
63,car,0.7811869978904724,6,117,194,264,254,,,,,,,
64,car,0.898597002029419,3,192,195,453,319,matricula,0.6947703957557678,216,279,254,289,
64,bus,0.8647872805595398,1,496,157,655,262,,,,,,,
64,car,0.8055386543273926,6,105,193,251,256,,,,,,,
65,car,0.9136989712715149,3,201,196,458,320,,,,,,,
65,bus,0.850714385509491,1,495,159,655,263,,,,,,,
65,car,0.7738018035888672,6,90,194,240,258,,,,,,,
66,car,0.9055571556091309,3,209,197,460,320,,,,,,,
66,bus,0.8030006289482117,1,494,160,661,264,,,,,,,
66,car,0.7821237444877625,6,77,195,226,259,,,,,,,
66,car,0.6606963872909546,8,11,63,846,471,,,,,,,
67,car,0.9020956158638,3,216,198,462,320,,,,,,,
67,bus,0.7535780668258667,1,492,161,663,266,,,,,,,
67,car,0.6534256339073181,6,63,196,214,260,,,,,,,
67,car,0.6482928395271301,8,13,62,847,472,,,,,,,
68,car,0.9035728573799133,3,224,199,465,320,,,,,,,
68,car,0.6750481128692627,6,50,196,205,261,,,,,,,
68,car,0.6458653807640076,8,12,61,846,472,,,,,,,
69,car,0.8992322683334351,3,231,199,468,318,,,,,,,
69,truck,0.6255008578300476,1,497,162,661,265,,,,,,,
70,car,0.903555154800415,3,237,200,471,318,,,,,,,
70,car,0.6161981225013733,8,17,51,847,471,,,,,,,
71,car,0.9098016023635864,3,243,200,473,318,,,,,,,
71,truck,0.6189374923706055,1,501,164,658,266,,,,,,,
72,car,0.9095726013183594,3,248,200,476,318,,,,,,,
72,bus,0.6476476192474365,1,503,164,656,266,,,,,,,
72,car,0.6237379312515259,6,0,198,157,263,,,,,,,
73,car,0.9034727215766907,3,256,201,479,318,,,,,,,
73,bus,0.7552220821380615,1,503,165,655,267,,,,,,,
73,car,0.7071357369422913,6,0,199,145,264,,,,,,,
74,car,0.8991380929946899,3,264,204,482,318,,,,,,,
74,bus,0.6845956444740295,1,504,167,656,270,,,,,,,
74,car,0.7252947688102722,6,0,200,134,267,,,,,,,
75,car,0.8838093876838684,3,270,205,482,320,,,,,,,
76,car,0.8928200006484985,3,277,208,487,321,,,,,,,
76,bus,0.6180024147033691,1,507,173,657,272,,,,,,,
77,car,0.9064016938209534,3,282,210,489,320,,,,,,,
78,car,0.9122600555419922,3,288,212,491,322,,,,,,,
78,truck,0.703680694103241,1,508,178,631,276,,,,,,,
79,car,0.9169031977653503,3,293,214,493,323,,,,,,,
79,truck,0.6910105347633362,1,509,179,624,277,,,,,,,
80,car,0.9281969666481018,3,298,215,496,323,,,,,,,
80,truck,0.6813682317733765,1,511,182,641,278,,,,,,,
81,car,0.916107714176178,3,303,216,498,323,,,,,,,
81,truck,0.746710479259491,1,511,184,650,279,,,,,,,
82,car,0.9091382622718811,3,310,216,501,323,,,,,,,
82,truck,0.7141359448432922,1,513,185,653,279,,,,,,,
83,car,0.9109702706336975,3,315,216,503,322,,,,,,,
83,truck,0.7338013052940369,1,514,186,654,279,,,,,,,
84,car,0.9097064733505249,3,320,216,506,321,,,,,,,
84,truck,0.6246008276939392,1,514,187,654,278,,,,,,,
85,car,0.9255335927009583,3,323,217,509,320,,,,,,,
85,truck,0.6884870529174805,1,515,187,656,279,,,,,,,
86,car,0.9116541743278503,3,328,218,510,320,,,,,,,
86,truck,0.711428165435791,1,516,188,655,280,,,,,,,
87,car,0.9033612608909607,3,333,219,513,320,,,,,,,
88,car,0.8887385725975037,3,338,219,514,321,,,,,,,
88,truck,0.7289241552352905,1,518,190,655,281,,,,,,,
89,car,0.9084709286689758,3,342,219,516,321,,,,,,,
90,car,0.9199589490890503,3,348,220,518,321,,,,,,,
90,bus,0.6726507544517517,1,521,191,657,281,,,,,,,
91,car,0.9254492521286011,3,354,220,519,321,,,,,,,
91,bus,0.6890835165977478,1,521,190,656,281,,,,,,,
92,car,0.9314265251159668,3,357,221,520,321,,,,,,,
92,bus,0.6706916689872742,1,522,190,656,281,,,,,,,
93,car,0.9233573079109192,3,359,222,521,321,,,,,,,
94,car,0.930169403553009,3,362,222,522,320,,,,,,,
94,bus,0.6992227435112,1,522,191,656,283,,,,,,,
95,car,0.9340535402297974,3,365,222,523,319,,,,,,,
95,bus,0.6954517364501953,1,522,191,657,283,,,,,,,
96,car,0.9230962991714478,3,367,221,526,318,,,,,,,
96,bus,0.7506750822067261,1,522,189,659,283,,,,,,,
97,car,0.9195496439933777,3,372,220,528,316,,,,,,,
97,bus,0.7452595829963684,1,523,187,660,280,,,,,,,
98,car,0.9094612002372742,3,376,218,529,314,,,,,,,
98,bus,0.758416473865509,1,523,186,662,276,,,,,,,
99,car,0.8971594572067261,3,378,216,530,312,,,,,,,
99,truck,0.8071491718292236,1,522,183,662,273,,,,,,,
100,car,0.8919203281402588,3,380,215,531,310,,,,,,,
100,truck,0.8111754655838013,1,521,182,663,271,,,,,,,
101,car,0.9020645618438721,3,382,214,530,308,,,,,,,
101,truck,0.8065987825393677,1,519,180,663,269,,,,,,,
102,car,0.8931335806846619,3,384,212,529,305,,,,,,,
102,truck,0.7824631929397583,1,518,179,663,267,,,,,,,
103,car,0.9113655686378479,3,385,211,529,303,,,,,,,
103,truck,0.8389960527420044,1,518,178,660,265,,,,,,,
104,car,0.9019040465354919,3,388,211,530,302,,,,,,,
104,truck,0.8147327899932861,1,517,178,658,265,,,,,,,
105,car,0.8762201070785522,3,391,210,531,300,,,,,,,
105,truck,0.8378631472587585,1,518,177,655,264,,,,,,,
106,car,0.8871565461158752,3,393,209,531,298,,,,,,,
106,truck,0.8407888412475586,1,516,176,653,262,,,,,,,
107,car,0.889236330986023,3,395,209,531,298,,,,,,,
107,truck,0.8493357300758362,1,515,176,652,262,,,,,,,
108,car,0.9007080793380737,3,395,209,530,298,,,,,,,
108,truck,0.831946074962616,1,514,176,648,261,,,,,,,
109,car,0.8996013402938843,3,395,209,529,297,,,,,,,
109,truck,0.7384864091873169,1,514,176,644,260,,,,,,,
110,car,0.8973934650421143,3,396,209,529,297,,,,,,,
110,truck,0.7356328964233398,1,512,176,641,260,,,,,,,
111,car,0.8947980403900146,3,396,210,528,296,,,,,,,
111,truck,0.8101837038993835,1,510,176,640,260,,,,,,,
112,car,0.8972525596618652,3,398,210,528,296,,,,,,,
112,truck,0.838108241558075,1,508,176,637,260,,,,,,,
113,car,0.9127047061920166,3,400,210,528,296,,,,,,,
113,truck,0.854004979133606,1,507,176,637,260,,,,,,,
114,car,0.899690568447113,3,401,210,528,295,,,,,,,
114,truck,0.8276826739311218,1,507,177,635,260,,,,,,,
115,car,0.8993991017341614,3,402,211,529,295,,,,,,,
115,truck,0.8614606857299805,1,507,176,635,260,,,,,,,
116,car,0.90067058801651,3,403,211,529,295,,,,,,,
116,truck,0.8400713205337524,1,506,177,634,260,,,,,,,
117,car,0.892805278301239,3,405,212,529,295,,,,,,,
117,truck,0.844417154788971,1,506,178,633,261,,,,,,,
118,car,0.8891803026199341,3,406,212,530,296,,,,,,,
118,truck,0.8351215720176697,1,506,179,631,262,,,,,,,
119,car,0.8946041464805603,3,409,213,530,296,,,,,,,
119,truck,0.8154281377792358,1,507,179,631,262,,,,,,,
120,car,0.8943543434143066,3,411,214,530,296,,,,,,,
120,truck,0.8363862633705139,1,507,180,630,263,,,,,,,
121,car,0.8899630904197693,3,412,215,531,297,,,,,,,
121,truck,0.7777848839759827,1,508,180,629,263,,,,,,,
122,car,0.888256847858429,3,412,216,532,297,,,,,,,
122,truck,0.7749462127685547,1,508,181,628,263,,,,,,,
123,car,0.8899074792861938,3,416,216,533,297,,,,,,,
123,truck,0.7986357808113098,1,508,181,627,263,,,,,,,
124,car,0.8849804997444153,3,420,217,535,299,,,,,,,
124,truck,0.7829731106758118,1,509,182,625,263,,,,,,,
125,car,0.8684597611427307,3,423,219,536,300,,,,,,,
125,truck,0.8318928480148315,1,510,184,623,264,,,,,,,
126,car,0.8604614734649658,3,426,220,538,301,,,,,,,
126,truck,0.7595365047454834,1,510,184,622,264,,,,,,,
127,car,0.8643431067466736,3,428,221,539,302,,,,,,,
127,truck,0.668683648109436,1,512,185,622,264,,,,,,,
128,car,0.8550503253936768,3,430,223,540,303,,,,,,,
129,car,0.8750835061073303,3,431,223,542,304,,,,,,,
129,truck,0.6642298698425293,1,513,187,622,265,,,,,,,
130,car,0.896648645401001,3,434,223,543,304,,,,,,,
131,car,0.887902021408081,3,438,224,545,303,,,,,,,
132,car,0.8942960500717163,3,440,224,546,303,,,,,,,
133,car,0.8934638500213623,3,442,223,548,303,,,,,,,
134,car,0.8834444284439087,3,444,223,548,303,,,,,,,
135,car,0.8822649717330933,3,445,223,549,303,,,,,,,
136,car,0.8893864154815674,3,447,223,549,303,,,,,,,
137,car,0.8708032369613647,3,448,224,550,304,,,,,,,
137,truck,0.607204258441925,1,516,189,629,266,,,,,,,
138,car,0.8594819903373718,3,449,226,551,304,,,,,,,
139,car,0.8980792760848999,3,450,228,552,304,,,,,,,
140,car,0.8920955061912537,3,451,230,553,305,,,,,,,
141,car,0.876655638217926,3,453,232,553,305,,,,,,,
141,truck,0.6322349309921265,1,516,192,622,269,,,,,,,
142,car,0.8848739862442017,3,454,232,554,305,,,,,,,
142,car,0.6825470924377441,10,430,225,496,273,,,,,,,
142,truck,0.6398512125015259,1,516,194,622,269,,,,,,,
143,car,0.8941406011581421,3,455,234,554,307,,,,,,,
143,car,0.7005115747451782,10,424,226,494,275,,,,,,,
143,truck,0.6881359219551086,1,516,195,619,271,,,,,,,
144,car,0.8501183986663818,3,457,236,555,308,,,,,,,
144,car,0.7176734209060669,10,419,227,489,277,,,,,,,
144,truck,0.6775531768798828,1,515,196,619,273,,,,,,,
145,car,0.8792242407798767,3,458,238,555,309,,,,,,,
145,car,0.7932409644126892,10,414,229,486,280,,,,,,,
145,truck,0.6271135210990906,1,515,198,620,274,,,,,,,
146,car,0.8978781700134277,3,459,240,556,312,,,,,,,
146,car,0.81011962890625,10,409,232,481,283,,,,,,,
147,car,0.8872193098068237,3,460,242,556,313,,,,,,,
147,car,0.7843274474143982,10,403,233,481,284,,,,,,,
148,car,0.8691196441650391,3,462,243,556,315,,,,,,,
148,car,0.7730597853660583,10,396,236,476,288,,,,,,,
149,car,0.8284031748771667,3,461,246,557,315,,,,,,,
149,car,0.7927536368370056,10,390,238,474,291,,,,,,,
149,truck,0.641204297542572,1,513,206,615,282,,,,,,,
150,car,0.8584354519844055,3,462,247,557,317,,,,,,,
150,car,0.8402782082557678,10,384,239,472,294,,,,,,,
150,truck,0.6514891386032104,1,513,208,616,284,,,,,,,
151,car,0.8669360280036926,3,462,248,556,318,,,,,,,
151,car,0.8647273182868958,10,378,240,467,296,,,,,,,
151,truck,0.6104761958122253,1,512,210,614,285,,,,,,,
152,car,0.8809453845024109,3,463,250,556,320,,,,,,,
152,car,0.8683940172195435,10,371,241,464,299,,,,,,,
152,truck,0.6022153496742249,1,512,211,613,287,,,,,,,
153,car,0.8478344678878784,3,463,253,555,322,,,,,,,
153,car,0.8756033778190613,10,364,242,462,302,,,,,,,
153,truck,0.6657009124755859,1,511,212,611,289,,,,,,,
154,car,0.8557736873626709,3,464,254,556,323,,,,,,,
154,car,0.8657383322715759,10,357,244,458,305,,,,,,,
154,truck,0.7001069188117981,1,510,213,610,290,,,,,,,
155,car,0.875355064868927,3,464,255,557,325,,,,,,,
155,car,0.8814712166786194,10,352,245,454,307,,,,,,,
155,truck,0.6604111194610596,1,509,215,610,292,,,,,,,
156,car,0.8630305528640747,3,465,257,557,327,,,,,,,
156,car,0.8857455253601074,10,345,247,450,311,,,,,,,
156,truck,0.6059887409210205,1,509,216,609,294,,,,,,,
157,car,0.8617427349090576,3,466,258,558,329,,,,,,,
157,car,0.9085366725921631,10,336,248,446,314,,,,,,,
157,truck,0.6019388437271118,1,510,218,609,295,,,,,,,
158,car,0.8452233076095581,3,467,260,559,331,,,,,,,
158,car,0.9051085710525513,10,330,250,443,316,,,,,,,
158,truck,0.6601393818855286,1,510,219,610,296,,,,,,,
159,car,0.8667547106742859,3,468,261,559,331,,,,,,,
159,car,0.8860191702842712,10,323,250,440,320,,,,,,,
159,truck,0.6795222759246826,1,511,220,610,297,,,,,,,
160,car,0.8689571022987366,3,470,261,560,332,,,,,,,
